,Building_Height_(m),Number_of_Floors,Number_of_People_Rescued,Number_of_Fire_Extinguishers,Number_of_Emergency_Exits,Number_of_Fire_Alarms,Temperature_(_C),Humidity_(%),Wind_Speed_(m_s),Precipitation_(mm),repair,Building_Type_Industrial,Building_Type_Residential,Fire_Occurrence_Yes,Type_of_Fire_Electrical,Type_of_Fire_Negligence,Fire_Scale_Medium,Fire_Scale_Small,Sprinkler_System_Present_Yes,Electrical_Equipment_Inspection_Conducted_Yes,Gas_Equipment_Inspection_Conducted_Yes
12640,9,3,29,6,1,6,22.22819182623596,0.5381339579679559,4.498870691406217,49.2666449179379,0.0,1,0,1,0,1,0,0,1,0,0
12641,16,5,6,7,6,9,15.1,0.6827466815970744,1.9711011319189145,50.25138158793924,0.25,0,1,1,0,0,0,0,0,0,1
12642,16,4,14,2,1,3,21.155074141055373,0.683874059334195,3.7255984028493145,2.3,0.0,0,0,1,0,0,1,0,0,0,0
12643,28,8,25,5,8,15,23.443233447022003,0.6161549082105299,3.1083545286191554,14.718170644205198,0.0,0,0,1,0,1,1,0,0,0,1
12645,27,8,23,7,6,1,24.15629370441565,0.9245672791975504,2.7189086822386783,24.51650533737262,0.0,0,0,1,0,0,0,1,0,0,0
12647,29,8,36,8,1,2,23.52282904352261,0.5677388148732221,1.7357064400656097,40.05348643524284,0.25,0,0,1,0,1,0,1,0,0,0
12648,26,8,37,3,1,0,24.264570106678367,0.5059790936023765,3.822813456888775,41.33464189743124,0.5,0,1,1,0,0,1,0,1,0,0
12649,27,7,20,4,8,5,15.699166963046292,0.7267878399412385,2.864454915570432,10.452350627295946,0.25,0,1,1,0,1,1,0,1,1,0
12654,28,8,14,6,6,6,20.174252292043445,0.6711619675500345,2.7969079054448684,38.40868215958538,0.0,1,0,1,0,0,0,1,1,0,0
12658,23,7,14,7,8,8,22.76955726032916,0.8627643519896361,2.423552599626041,48.48826512828028,0.5,0,1,1,0,1,1,0,1,0,1
12661,31,8,25,2,3,0,15.1,0.44132858774538547,2.014713006913983,35.58022846154007,0.0,0,1,1,0,1,0,1,1,0,1
12665,18,6,26,3,8,11,22.97406811270742,0.7298705203160791,3.745652799680301,33.7739483541928,0.75,0,0,1,0,1,1,0,1,0,1
12668,39,11,25,4,9,6,24.006298838079463,0.7938038836337722,2.2024975268326745,36.58300009027423,0.0,0,0,1,0,0,0,1,0,0,0
12669,19,5,32,4,5,2,20.34989687618617,0.757723498214053,2.5887513759524285,2.3,0.5,1,0,1,0,1,0,1,1,0,0
12674,6,2,6,8,1,1,16.34143645271454,0.6701406016414901,4.447904399337292,23.067478354676908,0.0,0,0,1,0,1,0,1,1,0,0
12682,28,8,27,6,2,5,17.774599463496617,0.48758145711374645,2.84644965548572,13.7232188790567,0.0,1,0,1,0,1,0,1,0,0,0
12683,30,9,36,7,9,6,22.38537232426166,0.9277143312413378,2.365007823896081,64.87312586036967,0.0,0,0,1,1,0,0,0,1,0,1
12687,45,13,29,5,8,4,20.49879485623212,0.9104731315194065,2.8591312784378022,6.422879066115495,0.75,1,0,1,0,1,0,1,0,0,0
12691,25,7,16,5,9,13,15.1,0.6793589407242425,1.7553817237735538,71.83379946803572,0.0,0,0,1,0,1,0,0,1,0,1
12692,20,5,15,5,1,0,22.1273906603552,0.554342723015502,2.98797176485688,14.379878916535136,0.25,1,0,1,0,0,0,1,0,0,0
12693,27,8,46,7,7,7,27.227492121681514,0.6636132676299497,1.9480370122134347,50.57343583147904,0.0,0,0,1,0,0,0,0,0,0,0
12694,33,10,20,1,11,6,15.1,0.8859369773857995,1.5344514479008522,25.50952462926876,0.75,0,1,1,0,0,1,0,1,0,0
12697,28,8,22,7,5,8,26.182378330954208,0.5063614454520534,3.098848592810932,35.26590966824144,0.0,0,1,1,0,0,1,0,1,0,0
12698,41,12,40,6,11,8,21.685637327666488,0.632023579729865,3.853314759217899,28.14102720887359,0.75,0,0,1,0,1,1,0,1,0,0
12699,28,8,16,7,7,1,18.01317078473869,0.8063861558577241,2.760929730346689,18.927848819596417,0.25,0,1,1,0,0,0,0,0,0,0
12700,31,9,17,8,7,10,19.67137794150654,0.712754064339372,3.4953964842111187,10.679867939746078,0.25,0,1,1,0,1,1,0,1,0,0
12702,12,4,14,4,4,8,15.64731001477701,0.6944294642702771,2.304871379411473,39.60655824328212,0.0,0,0,1,0,0,0,1,1,0,0
12705,30,8,17,8,8,4,19.350586721984502,0.8272186642049527,0.8362869135060518,45.36639691778078,0.0,0,1,1,0,0,1,0,0,0,1
12709,39,11,33,3,12,6,24.664404645628057,0.7508670766572686,3.546305293143865,27.7164716845577,0.0,0,1,1,0,1,0,1,1,0,0
12711,19,5,39,1,4,12,15.1,0.7367739703998707,2.450776361544312,57.557605857032826,0.0,0,0,1,0,0,0,0,1,0,0
12712,46,13,21,6,10,5,18.418048560045,0.40399999999999997,3.331198226497091,32.75212748775385,0.5,0,1,1,0,0,1,0,0,1,0
12719,35,10,18,6,5,2,26.664872486091497,0.8253282237125475,0.6,37.85515214074978,0.25,0,0,1,0,0,1,0,1,0,1
12721,16,4,34,1,4,3,16.730323912274436,0.6244213103623382,2.2411930839742964,37.39593260097077,0.25,0,1,1,0,0,0,1,0,0,1
12723,27,7,12,4,8,8,23.414872069371818,0.7977504807808683,2.249611250036792,13.011702119688874,0.25,0,0,1,0,0,0,1,1,0,0
12725,35,10,23,7,7,7,28.2229488907392,0.4387718431119201,0.6899279282806567,31.28342335347655,0.0,0,1,1,0,0,0,1,1,0,1
12726,35,10,26,3,9,11,23.73940238925318,0.7505366431981386,3.696117885912364,68.94566073211364,0.75,1,0,1,0,1,1,0,1,0,0
12727,7,3,19,10,6,8,17.058255237077034,0.5737306519001844,4.9,25.619757155388506,0.25,0,1,1,0,0,1,0,1,1,1
12728,13,4,28,7,5,6,26.50407409176337,0.8611875301560563,2.604227229644536,56.96403214029889,0.0,0,1,1,0,0,1,0,0,0,0
12742,21,6,50,6,9,8,18.85193695226265,0.6214836763410393,4.108109690700076,4.42964316041418,0.0,0,1,1,0,0,1,0,1,1,1
12743,23,7,8,4,7,7,15.1,0.7901986244077195,2.6460714660610853,10.163071391974416,0.0,0,1,1,1,0,1,0,1,0,0
12744,42,12,3,6,5,6,27.47516611826808,0.7263942702016472,1.3238117513487146,27.471751503423995,0.25,0,0,1,0,1,1,0,1,0,1
12745,34,9,1,5,10,20,26.77479763177072,0.5500401962235952,2.603482220759253,59.12964929455718,0.75,0,0,1,0,0,1,0,1,1,0
12748,33,9,19,3,11,14,16.88083416135091,0.7570978989164213,1.6526520071712036,64.45187236951993,0.0,0,1,1,0,1,0,0,1,1,1
12751,24,7,27,7,9,18,24.12016521456048,0.5580005795769637,2.76112978134196,48.70191935916167,0.0,0,1,1,0,1,0,1,1,0,0
12754,39,12,1,4,13,12,22.124887481911102,0.8170136744901793,3.42752230736164,8.941364358073987,0.75,0,1,1,0,1,0,0,0,0,1
12755,21,5,32,5,1,2,18.20852234833609,0.7831269488889636,2.405976321203154,2.3,0.25,0,0,1,0,0,1,0,0,0,0
12756,5,1,43,7,1,4,15.1,0.5514176035333064,2.42421584217141,50.98463066036793,0.0,0,1,1,0,0,0,1,1,0,0
12757,28,8,24,6,5,2,23.1438051328899,0.7479576827380177,0.6,2.3,0.25,0,1,1,0,0,0,1,1,0,0
12759,40,12,24,5,12,8,29.49313566605224,0.754223112871112,3.1905655798103743,39.934800808881405,0.0,0,0,1,0,0,0,1,1,0,1
12760,5,1,25,7,3,0,19.37407685686724,0.8262604820578566,2.9336860676453123,16.38640771533743,0.0,0,1,1,0,1,1,0,0,0,0
12766,22,7,24,6,4,2,19.74990895750388,0.7082965739081166,1.3931018504945247,82.65069630391748,0.0,0,0,1,0,1,0,0,0,0,1
12768,21,6,21,8,6,5,23.420172579609904,0.5342963967193652,2.356005749106671,50.88634078316557,0.25,0,0,1,0,0,1,0,0,0,0
12769,19,6,0,3,4,13,24.355949051077594,0.7456732964769432,4.650710523826973,17.233701467574473,0.0,0,1,1,0,0,1,0,1,0,0
12770,5,1,27,6,6,9,18.91094341368465,0.9940000000000001,0.6,49.67363132551024,0.25,0,1,1,0,0,0,1,1,1,1
12771,33,10,10,4,9,7,18.23571137654288,0.5378068111174121,3.5331842994071043,40.10538703701087,0.0,0,1,1,0,0,1,0,1,1,1
12776,16,4,36,7,4,8,21.75373789200417,0.5796946166629856,3.063161787999411,75.2437262096058,0.0,0,1,1,0,0,0,0,0,0,0
12777,14,4,13,9,3,6,18.093428945248228,0.40399999999999997,3.504748932827836,41.78206380633952,0.0,0,1,1,0,0,0,1,1,0,0
12780,37,10,15,7,7,4,16.284615228415767,0.654677876953159,0.6128629780928874,2.3,0.0,0,1,1,0,0,1,0,1,0,0
12781,13,4,13,8,5,15,25.805754702855204,0.6305592476475408,2.700520570389925,49.48788670242939,0.0,1,0,1,0,1,0,0,1,0,0
12784,25,7,33,6,5,11,15.118223658673216,0.5587606746916493,3.4543307256973,68.25119831064275,0.25,0,0,1,1,0,0,1,1,0,0
12790,25,7,12,4,10,7,18.287399280318592,0.8148437189386921,3.554578965022179,45.30222663780933,0.25,0,1,1,0,0,1,0,1,0,0
12793,33,9,32,5,12,16,23.795587758715413,0.8001094401017464,3.3285813964353355,38.68561181948058,0.0,0,0,1,0,1,1,0,1,0,0
12799,46,13,9,8,10,5,20.74711382613468,0.6481097596794716,2.2338357173782937,42.76274032742933,0.75,0,1,1,0,0,1,0,1,1,0
12805,20,5,32,4,1,6,24.4461675368578,0.40399999999999997,1.939116502810307,34.23182080762871,0.0,0,0,1,0,1,0,0,0,0,1
12810,14,4,26,1,4,8,21.67294609922675,0.8609407605483844,3.315531463143929,17.86466025745767,0.0,0,0,1,0,0,0,1,0,0,0
12827,35,10,23,1,9,13,23.70771306682829,0.680927424084984,2.788393109442498,46.50774686196313,0.25,1,0,1,0,0,0,1,1,0,1
12828,16,5,41,4,2,2,22.443687792489584,0.6634814359510003,2.960211724013304,62.22643669809205,0.0,0,0,1,0,0,0,1,0,0,0
12834,24,7,46,10,5,7,20.22095325022417,0.40399999999999997,4.507185495996569,52.21665877012135,0.0,1,0,1,0,0,0,1,1,1,0
12838,8,3,33,4,5,5,23.976890144051925,0.9940000000000001,3.332207827096748,18.25908978855344,0.0,0,0,1,0,0,0,0,1,0,0
12839,20,6,31,5,4,4,16.862542337867474,0.7871570718980747,2.619864420864737,64.51289863289819,0.0,0,0,1,0,0,0,1,0,0,1
12840,22,6,29,7,11,15,18.06242138377231,0.8718875012852954,3.9116120879276592,9.238344501122317,0.5,0,1,1,1,0,1,0,1,0,1
12843,6,2,14,6,4,3,19.59327938416439,0.5698847092699045,2.558752953381304,65.43829240330993,0.0,0,1,1,0,0,0,1,0,0,0
12844,28,8,26,7,11,4,16.04865073052249,0.5200567710352103,3.3548365842198824,57.36332436447928,0.25,0,1,1,0,0,0,1,0,1,1
12845,42,12,30,8,8,9,21.944101043208587,0.5976041397616627,2.7977620101169807,56.176876152592186,0.0,0,1,1,0,0,0,1,1,0,0
12852,28,8,46,5,2,0,23.90504180826108,0.404799700940481,3.316347403571273,29.88294283897109,0.0,0,0,1,0,0,0,0,1,0,0
12854,21,6,15,1,3,0,17.164625984995237,0.9045296910475652,4.489575491988461,2.3,0.0,0,0,1,0,1,1,0,0,0,0
12856,42,12,26,9,12,7,26.35030865014866,0.5377979999867903,2.445229330529925,37.3478844954326,0.0,0,1,1,0,1,1,0,1,0,1
12858,35,10,42,5,7,13,28.356496236611147,0.6124629308879459,0.6311166442878426,39.38739676788954,0.25,0,0,1,0,0,0,1,1,1,0
12859,30,9,28,7,6,4,23.467131470754165,0.8293266664690325,2.910375822224552,49.43471418171615,0.0,0,0,1,0,1,1,0,0,0,0
12862,28,8,26,6,9,10,19.74908830565333,0.7960357146631735,2.475921992966626,84.1768574027142,0.25,0,0,1,0,1,1,0,1,1,1
12863,30,8,25,3,6,3,20.40833054020324,0.668469649149475,3.0585426931375483,2.3,0.5,0,0,1,0,1,1,0,1,0,0
12864,49,14,28,9,17,16,21.25140481040158,0.5721588261226103,3.9457396191588967,53.19014449738182,0.0,0,1,1,0,1,0,1,1,0,0
12866,20,6,27,3,5,0,23.07989386349397,0.5352504639535389,4.9,43.55022320074577,0.75,0,0,1,0,1,0,0,1,0,0
12867,20,5,31,5,4,5,18.71395720183649,0.645656775096013,3.8571279313296,44.28278749371104,0.0,0,0,1,1,0,0,1,1,1,0
12868,44,13,28,7,13,5,18.724150944623187,0.6369766729130341,3.1940998252567656,48.70914734916023,0.0,0,1,1,0,0,1,0,1,0,0
12870,28,8,17,4,6,2,15.1,0.8003442891410342,1.923635676263588,2.3,0.75,0,0,1,0,1,0,1,1,0,0
12873,31,9,31,4,9,3,15.231067068003814,0.4736789166665619,1.978714810669833,44.9695180179984,0.0,0,1,1,1,0,1,0,1,0,0
12878,29,8,17,8,4,0,19.123147235014223,0.8456004158181873,1.3094886718056076,7.75260748134686,0.25,0,0,1,0,1,0,1,1,0,0
12881,40,11,22,9,8,8,19.555355504246823,0.7518054014346418,3.975809337053807,2.3,0.0,0,1,1,0,1,0,0,1,0,1
12883,29,8,44,2,9,8,22.16100477831582,0.8331221210289061,4.9,46.58230304543041,0.25,0,1,1,0,1,0,1,1,0,1
12884,23,6,26,5,6,7,20.34824125236081,0.908216615063178,2.635103631701099,46.20096529496847,0.25,0,0,1,0,1,0,0,1,1,0
12886,24,7,25,2,6,4,15.1,0.6591855073168134,1.7485140745473862,49.363765787093016,0.5,0,0,1,0,0,0,1,0,0,1
12889,28,8,41,8,9,9,23.392123670520103,0.6944329567029455,2.002142949405457,86.22617204935312,0.75,0,0,1,0,1,0,1,1,0,1
12898,23,7,26,7,8,12,23.95122712756355,0.8001067205063257,3.4851576051904174,74.85634352557028,0.0,0,1,1,0,0,0,1,0,0,1
12904,28,8,11,5,8,1,20.501763834862604,0.6104206925017166,2.880991191271839,54.657998523493326,0.0,0,1,1,0,0,1,0,1,0,1
12905,30,9,41,9,11,7,26.434576783924093,0.7273310086155411,3.426154504024873,79.81334214209103,0.0,0,1,1,0,1,0,0,1,1,1
12906,32,9,18,5,6,12,21.612808825691747,0.6940759762535257,3.4247825615376675,32.68207833369366,0.0,1,0,1,0,1,1,0,1,0,0
12908,5,1,50,2,1,0,19.45724954798463,0.5120076399665077,3.191854253034279,41.80949304761306,0.25,0,0,1,0,1,0,0,1,1,1
12909,23,6,32,4,8,13,23.674847597381515,0.813855940371177,3.6368577122955,38.95082778466683,0.75,0,0,1,0,1,0,1,1,1,1
12911,22,5,20,6,5,6,17.970400131991443,0.6910978341091578,1.6235549667168525,77.14501428471004,0.75,0,0,1,0,0,0,0,1,1,1
12914,22,6,19,6,4,3,24.016498568019323,0.7130196390892842,3.740639179366888,33.45829105863366,0.25,0,1,1,0,0,1,0,0,0,1
12916,32,9,3,8,10,7,22.45885622910311,0.7212284735268816,3.5853973379890647,10.630537849962373,0.75,0,1,1,0,0,0,1,1,1,0
12921,38,11,34,4,9,10,25.49450583707929,0.6029304514743331,2.923237620825732,47.04339679634043,0.25,0,0,1,0,1,1,0,1,1,1
12923,28,8,16,5,5,6,22.1101434957278,0.8990609755312142,3.344997592114014,28.420669704390484,0.0,1,0,1,0,1,1,0,1,0,0
12929,22,7,21,7,3,2,25.15843415196138,0.5207577713221972,3.36225229861206,39.874734711054,0.0,0,1,1,1,0,0,1,0,0,0
12931,10,2,24,3,5,6,26.113607264367324,0.6877459819263954,3.823157036141157,37.54481228998692,0.75,0,0,1,0,0,1,0,0,0,0
12935,20,6,16,2,9,15,24.10685461888952,0.9647939530629014,4.263564812679316,64.0039980737865,0.75,0,0,1,0,1,0,1,1,0,0
12936,28,8,25,7,9,12,23.67907148787508,0.7131776239454193,2.5208429169580264,42.77869528279325,0.25,0,1,1,0,0,1,0,0,0,0
12938,10,3,5,7,3,9,18.352417228933547,0.664309341332141,2.784345688017216,55.350942672508,0.5,0,0,1,0,0,1,0,0,0,0
12940,34,10,25,2,6,1,19.900808032907428,0.604347582255536,4.433855177541152,32.85496160657046,0.25,0,1,1,0,0,1,0,0,0,1
12943,12,3,28,3,2,9,22.07186945038756,0.8761132686338361,2.1697076644469657,48.87768531121487,0.25,1,0,1,0,0,1,0,1,0,0
12945,49,14,5,5,14,12,17.712153335985814,0.6618968907117997,2.5453686697490503,38.28023112030368,0.0,0,1,1,0,0,0,1,0,1,1
12948,22,6,39,6,4,0,16.9039719037424,0.5522125800880755,2.4096751989935274,59.547601856053504,0.0,0,1,1,0,1,1,0,0,0,0
12950,24,7,15,5,10,4,21.86189661604971,0.7113802848363102,1.7247285057923585,63.3848866697178,0.75,0,1,1,0,0,0,1,1,0,1
12963,32,9,28,8,10,12,18.435885529350745,0.5900775802772427,3.463066143799832,56.70271026217416,0.0,0,0,1,0,0,0,1,1,0,1
12966,32,10,9,6,7,6,18.63418140947935,0.40399999999999997,4.9,54.97615253138476,0.25,0,1,1,0,0,1,0,1,0,1
12969,37,10,20,8,9,8,19.573249831960457,0.9292935867535796,1.4459143995391095,45.92657680271925,0.75,1,0,1,0,1,1,0,1,0,0
12970,36,11,17,7,5,6,19.511531263842123,0.5592673066365546,3.2841966689389723,37.30310412774315,0.0,0,0,1,0,1,1,0,0,0,0
12971,20,6,27,1,4,2,23.35101712680645,0.7243498567246653,4.126333272670015,11.700013950756116,0.0,0,0,1,0,0,1,0,1,1,0
12972,8,2,15,7,2,0,18.40243065597028,0.8828047556529751,3.8774599145015785,13.522140596812498,0.75,0,1,1,0,1,0,1,1,0,0
12973,21,6,47,1,3,6,22.521302429246457,0.8204795847258254,3.491926013419391,24.580784287483304,0.75,0,0,1,0,0,1,0,1,0,0
12975,18,5,36,1,7,4,17.168081956087175,0.9940000000000001,3.507739598261984,39.23280039569013,0.75,0,0,1,1,0,0,1,1,0,0
12976,5,1,19,3,3,4,22.3480282280073,0.7201268146489251,3.1151149078886693,62.79231644475306,0.0,0,1,1,0,0,1,0,1,1,0
12977,5,1,15,2,1,15,24.88713924618614,0.8398991794522336,1.6652748898414445,10.681359027947234,0.0,1,0,1,0,1,1,0,1,0,0
12978,35,10,3,3,3,7,27.920431471401585,0.707125246095872,3.4238197076773083,2.3,0.75,0,1,1,0,1,0,1,0,0,0
12981,42,12,22,6,6,2,21.97426024394987,0.40399999999999997,4.154384913344938,20.287359086057243,0.25,0,1,1,0,1,1,0,1,0,0
12982,20,5,22,8,3,0,25.827018536930527,0.506198237660953,2.3163458984098426,37.15211524326024,0.75,0,1,1,0,1,0,1,0,0,0
12983,27,8,41,2,10,0,20.72332939077824,0.9083716203531064,3.0421481909006785,6.427236851858567,0.25,0,0,1,0,0,1,0,1,0,1
12984,31,9,19,7,11,14,24.129023702017907,0.9218643868165368,3.680906339567794,57.200404223695,0.25,0,0,1,0,1,0,1,1,0,0
12986,30,9,10,3,7,6,22.44568261350458,0.695683239207765,3.384893996569168,2.3,0.0,0,0,1,0,1,0,0,1,0,0
12988,27,7,49,3,5,0,26.95472781344634,0.9072453696540351,2.2202513025606905,68.33143554111965,0.75,1,0,1,0,1,0,1,1,0,1
12989,5,1,13,2,1,1,20.12450059141741,0.6366044647462386,2.832974979150159,21.33117345203912,0.25,0,1,1,0,0,1,0,0,0,0
12990,47,13,11,6,10,8,28.053217311790064,0.7756438196549656,3.658176648718819,18.64801522146632,0.0,0,0,1,0,1,0,0,1,1,1
12994,26,7,8,9,9,10,21.86303228989824,0.5803658166758455,3.6894010832191086,28.742182564473644,0.5,0,1,1,0,0,1,0,1,0,0
13003,31,9,27,3,1,2,24.27009019132597,0.5319460286948989,1.2742628708324526,2.3,0.0,1,0,1,0,0,1,0,0,0,0
13004,34,10,12,6,7,2,24.423828331728547,0.6856362330173209,1.0454023318367032,34.563686831384025,0.0,0,0,1,0,0,0,1,1,0,0
13006,28,8,11,1,7,8,23.54235065998741,0.5528869940728259,3.615035488095,33.76346849737685,0.0,0,1,1,0,0,1,0,1,0,0
13008,26,8,16,5,7,12,22.67088409486534,0.44002336698895056,2.767633600381052,29.602953199197184,0.0,0,1,1,0,1,1,0,1,0,0
13012,12,3,25,2,3,0,24.16191403383585,0.9180285055063417,3.332469573017746,18.86631063219697,0.75,0,0,1,0,0,0,1,0,0,1
13014,25,7,29,5,7,6,25.056926193973258,0.632466887359024,2.958341516585109,4.280691811744809,0.0,0,1,1,0,0,0,0,0,1,1
13015,33,9,11,10,7,4,17.667683463650828,0.40399999999999997,2.496766539558751,17.526045147387237,0.75,0,1,1,1,0,0,0,1,0,0
13016,40,12,15,6,7,17,29.7,0.5432574242059541,3.429744575770678,56.60774628800216,0.0,0,1,1,0,0,0,1,1,0,1
13018,31,8,36,3,5,7,18.11282482410532,0.6307341126400113,1.3601712842551243,31.68275754865576,0.5,0,1,1,0,1,0,1,0,0,0
13022,19,5,31,8,2,3,25.58204113274204,0.4049741117781152,1.9127773591543065,52.808933127831374,0.0,1,0,1,0,1,1,0,1,0,0
13024,15,4,7,9,3,8,27.357312246039776,0.6185870004158018,3.148093632411051,32.96001920475317,0.25,0,1,1,0,0,1,0,1,0,0
13028,24,7,8,4,9,15,21.82714487369549,0.6905549570511523,4.472922605379395,79.96714574165674,0.75,0,0,1,0,0,1,0,1,1,0
13029,27,8,33,1,6,10,29.67909347209068,0.533576961817562,2.876523149230032,2.3,0.5,0,0,1,0,0,1,0,0,0,0
13031,41,12,23,3,8,0,21.024104795857635,0.8490091665296154,4.35212674672967,73.3711718775653,0.25,0,0,1,0,0,1,0,1,1,1
13034,28,8,20,3,9,6,19.59904063740067,0.8776392483932185,3.406972944820761,67.55553153880928,0.0,0,0,1,0,0,0,0,1,1,1
13037,8,2,8,9,2,4,15.1,0.6358641046607063,2.6586990507787767,79.24686950701124,0.25,0,0,1,0,0,1,0,0,0,0
13043,29,9,20,7,5,11,21.19293050284702,0.6576724901644705,3.036747178452448,53.68490822436532,0.75,1,0,1,0,1,0,0,1,0,0
13044,22,7,22,4,4,0,15.456665173288698,0.4867692586380949,1.8730245730700388,26.05384027232426,0.0,0,0,1,0,0,0,1,1,0,0
13045,25,7,34,10,5,1,27.542815883158863,0.40399999999999997,1.7985514327704997,10.539407789926912,0.25,0,1,1,0,0,0,1,0,0,0
13047,20,6,27,10,11,9,19.41349604098663,0.5367347855917058,4.9,80.84058046783827,0.25,0,1,1,1,0,1,0,1,0,0
13050,49,14,18,4,12,11,20.093856372430512,0.8185978068336688,2.837384437132541,50.06406934815888,0.25,0,0,1,0,1,1,0,1,0,1
13055,22,6,3,3,7,11,20.465460143802755,0.9248046397491759,2.2452962277639417,28.94404747719186,0.0,0,0,1,0,1,1,0,1,0,0
13056,19,6,3,8,7,5,15.1,0.8516772054274039,3.2497679925994785,64.11530131014207,0.75,0,0,1,0,1,0,0,1,0,0
13065,26,8,40,1,4,0,15.1,0.6570739570049271,3.495740897274193,33.18150636122138,0.25,1,0,1,0,1,1,0,0,0,0
13077,47,13,7,7,7,7,22.0454297507698,0.5003808572632958,1.481382567404239,53.39824830982758,0.25,0,0,1,0,0,1,0,1,0,0
13078,5,1,13,5,1,2,18.99052851098532,0.7222170001457167,4.728973575930571,38.25477927783264,0.25,0,0,1,0,1,1,0,1,0,1
13085,29,8,43,5,7,7,23.911339718688133,0.7107307324151456,3.624732885336842,40.36769259267789,0.0,0,0,1,0,0,0,1,1,0,0
13088,5,1,37,9,5,6,27.83661035038962,0.820360894943326,3.0864483325167624,68.24214146974057,0.0,0,0,1,0,1,1,0,1,0,0
13093,33,10,22,5,8,14,21.29856215643275,0.6587329158264054,1.6845786519809602,12.568196153527587,0.25,0,1,1,0,1,0,0,1,0,0
13094,16,5,33,5,4,10,22.23525554817069,0.40399999999999997,0.6,63.92423054721315,0.0,0,0,1,0,1,1,0,0,0,1
13096,39,11,22,6,6,13,22.06670346265257,0.5761883277898384,2.7566547553965286,28.85435458043648,0.25,0,0,1,0,0,1,0,0,0,0
13099,12,4,26,3,4,3,20.0607916257824,0.7243060252226411,3.530813729521732,17.583552326654114,0.25,0,0,1,0,1,1,0,1,0,0
13101,37,11,22,7,7,6,20.270809709499712,0.7385755989051728,3.705827965510984,34.15821246992031,0.25,0,0,1,0,1,0,1,0,0,0
13104,8,2,31,7,1,9,17.65083176069192,0.40399999999999997,2.565573048955315,42.56477038243461,0.25,1,0,1,0,0,1,0,1,0,0
13110,16,4,15,4,1,9,24.754696669835027,0.5291340369021789,3.31767845798165,43.8613988066968,0.0,0,1,1,0,1,0,1,0,0,0
13115,5,1,27,9,1,1,20.5061181507927,0.5027770524011635,4.152840507108814,46.33034024300754,0.0,0,0,1,0,0,0,1,0,0,0
13117,7,2,9,8,2,4,19.484464856760308,0.7398842534045409,2.107468263745938,76.71740236725012,0.25,0,0,1,0,0,1,0,0,0,1
13120,30,9,13,2,5,0,21.898589823675348,0.9359326076885596,2.689429422280224,36.90471070988403,0.0,0,0,1,0,0,0,1,1,0,1
13122,5,1,11,8,1,1,17.364511645656417,0.6314124921459077,2.9559386563545664,77.37507661532717,0.25,0,1,1,0,0,0,0,0,0,0
13125,25,7,24,4,7,13,25.81438741829538,0.823136926267924,0.7126597358735898,53.58801805952527,0.0,1,0,1,0,0,0,1,1,0,0
13134,36,11,29,5,8,7,24.615020633991023,0.5548292122233016,3.500339057556638,42.01111095403444,0.75,0,0,1,0,0,0,1,1,1,1
13141,28,8,29,3,8,12,20.857348651541653,0.8607889844878853,3.063719163062896,50.70741499978165,0.25,0,1,1,0,1,1,0,1,0,0
13142,22,5,50,4,5,5,22.700666983874022,0.648616573031145,3.908873164729644,34.707136153320604,0.75,1,0,1,0,1,0,1,1,0,1
13143,28,8,15,1,7,4,23.49851414531405,0.581767382502337,4.697890498002714,7.351886919318332,0.0,0,1,1,0,1,0,1,1,0,0
13145,28,8,14,5,9,1,15.625171222927754,0.6164070617073844,3.5839059976489693,33.2727551977321,0.75,0,1,1,0,0,0,1,1,0,1
13146,5,1,33,2,1,0,20.044919369382207,0.7005848493802744,1.0449208386424291,2.3,0.0,0,1,1,0,0,1,0,1,0,0
13148,16,5,15,4,2,2,21.62719664507948,0.7373035074341562,1.5388487863621696,42.83625427817493,0.0,0,0,1,0,1,0,0,1,0,0
13153,22,6,26,9,8,4,24.095485078160696,0.7962907049428677,4.887046767400191,58.70472755331201,0.75,0,0,1,0,1,0,1,1,1,0
13159,15,4,7,9,6,8,15.1,0.6319465697355727,3.829382459128709,69.99612571351796,0.75,0,1,1,1,0,1,0,1,1,0
13160,7,2,21,6,1,0,23.617821030151003,0.9940000000000001,2.973009187683793,2.3,0.75,0,0,1,0,1,1,0,0,0,0
13165,45,13,7,6,11,9,25.15416813312749,0.7453815920865331,1.702231771305435,29.785039829491144,0.25,0,0,1,0,1,1,0,1,0,0
13167,20,5,29,8,6,5,22.84195609468988,0.7989743935786582,2.8498707644332018,48.07642248506666,0.0,0,0,1,0,1,1,0,1,0,1
13168,16,5,35,8,10,7,21.754265615171946,0.7992395998735007,3.7109983340822112,90.1279856343572,0.0,0,1,1,1,0,1,0,1,1,1
13170,16,4,31,5,7,7,19.96176263236994,0.8553381896740823,3.156580614676647,55.7904943692069,0.25,0,1,1,1,0,1,0,1,1,0
13177,10,3,14,4,1,4,22.234959763820488,0.7838839026138892,3.9331256365785183,2.3,0.0,0,1,1,0,1,1,0,0,0,0
13179,49,14,33,4,12,7,19.181650194800728,0.7873938349838936,2.1595316698571043,24.40223503164806,0.0,0,0,1,0,1,1,0,1,0,0
13182,27,8,22,7,2,4,28.00879144863796,0.45980029096620767,1.4025973404873593,83.98443849148983,0.0,0,0,1,0,1,1,0,1,0,0
13183,18,5,22,2,4,1,15.1,0.5820594051447304,3.059972692231519,20.066757778509192,0.25,0,1,1,0,0,1,0,1,0,0
