Building_Type,Building_Height_(m),Number_of_Floors,Fire_Occurrence,Type_of_Fire,Fire_Scale,Number_of_People_Rescued,Number_of_Fire_Extinguishers,Sprinkler_System_Present,Number_of_Emergency_Exits,Number_of_Fire_Alarms,Electrical_Equipment_Inspection_Conducted,Gas_Equipment_Inspection_Conducted,Recent_Repair_Replacement_History,Temperature_(_C),Humidity_(%),Wind_Speed_(m_s),Precipitation_(mm)
Commercial,25,7,No,Negligence,Medium,15,8,No,5,9,No,No,Within 1 year,28.14503594284961,75.79623013786234,3.0950383164139565,11.777871946751972
Residential,34,10,Yes,Electrical,Medium,3,8,No,6,3,No,No,Over 3 years,29.7,54.79154723348368,1.4399864583728057,46.66237835592203
Commercial,20,6,No,Electrical,Medium,9,8,No,3,4,No,No,None,19.192383897073743,63.84456145207819,0.7647084038219565,49.4330840768332
Commercial,39,11,No,Negligence,Medium,18,4,Yes,11,11,Yes,Yes,None,19.48497624456625,67.71255909876896,4.9,3.866942881614122
Residential,37,10,No,Chemical,Medium,40,7,Yes,13,12,Yes,Yes,1-3 years,23.379645122012853,57.26809886418828,4.113246451408939,20.21779266981065
Residential,25,7,No,Chemical,Medium,25,5,No,6,2,No,Yes,1-3 years,15.1,54.30130590041843,4.7429306489896295,25.54048191058601
Commercial,22,7,Yes,Negligence,Medium,26,2,Yes,8,8,No,Yes,Over 3 years,23.709374194736743,99.13478563264572,3.0873472796725645,55.33738731224578
Residential,43,13,No,Negligence,Medium,20,5,Yes,13,11,No,No,None,17.743830785669658,64.43045069254335,4.303773540358523,52.26845467441791
Residential,41,12,No,Chemical,Small,28,9,No,9,12,No,No,None,29.7,79.59642253981742,1.8894238604471432,32.84935277358125
Commercial,28,9,Yes,Negligence,Medium,12,8,Yes,8,5,No,No,Over 3 years,21.458892589056784,64.95684583125873,3.23718110706944,84.71933498913825
Residential,36,11,No,Electrical,Small,27,3,No,10,8,No,Yes,None,18.528926459751325,61.13228056742297,1.6563311164001204,26.939931061740587
Industrial,35,10,No,Electrical,Medium,41,5,Yes,11,10,Yes,Yes,1-3 years,20.92386240565179,71.79157913350421,2.1979600630057234,62.76789938392783
Commercial,21,5,No,Chemical,Large,17,6,No,5,0,No,No,Over 3 years,15.1,99.4,2.249999811798735,12.525077954292538
Residential,26,7,Yes,Chemical,Medium,29,7,Yes,6,2,No,Yes,Over 3 years,20.46208562497092,72.53625452588848,3.049749312778681,13.83478529081609
Commercial,24,7,No,Chemical,Medium,25,6,Yes,6,2,No,No,None,24.53667784493259,54.32199075761295,4.058703724872878,47.209145431378666
Residential,22,6,No,Negligence,Medium,19,3,Yes,7,9,No,Yes,None,27.89372698763973,84.50114612243821,3.663135407296455,28.40015125476574
Commercial,29,8,No,Electrical,Small,37,7,Yes,12,6,No,Yes,None,20.02963114012378,99.4,4.154276338699858,34.552730992161926
Commercial,15,4,No,Chemical,Medium,27,5,No,5,4,No,No,Over 3 years,15.87594292929714,79.95931789347912,0.6,50.321116524742514
Commercial,26,7,Yes,Chemical,Small,17,5,Yes,7,13,No,No,None,28.29955571910713,72.98487360195305,1.8790087786710972,20.07321812369666
Commercial,12,4,No,Negligence,Medium,14,7,Yes,4,5,No,No,Within 1 year,17.162393583127013,50.15762274893967,3.7311387768880646,43.079756435889294
Residential,24,8,No,Chemical,Medium,33,8,Yes,7,14,No,No,None,25.74032018957796,68.96686169695917,2.5417861408897737,46.95535455899113
Industrial,5,1,No,Negligence,Medium,42,6,Yes,2,0,No,No,Over 3 years,16.670463313525474,65.13227057717042,3.4634820840746854,18.83842718295397
Residential,33,9,No,Negligence,Large,16,9,Yes,10,18,No,No,Within 1 year,24.10468588188994,85.75784832240818,1.4920857360902446,52.16826462669698
Residential,37,11,No,Chemical,Medium,25,4,No,11,5,No,No,None,20.87094514510184,77.53871453467147,4.385430341139631,26.61789526181626
Residential,29,8,No,Negligence,Medium,13,2,Yes,7,9,No,Yes,Over 3 years,21.18615604786595,55.06228856451064,4.004612830155205,28.82313767126848
Commercial,20,5,No,Negligence,Large,37,2,Yes,2,7,No,Yes,1-3 years,20.92568367130763,69.24647920156302,1.208198669415162,58.961849592779686
Residential,24,7,Yes,Chemical,Medium,34,6,Yes,9,10,Yes,No,None,25.864764573524727,78.45984698756156,2.868931594639776,45.79849846201365
Residential,32,9,No,Chemical,Small,47,2,Yes,8,2,Yes,No,1-3 years,20.780385116989944,56.632391321591015,3.0454272541716687,10.078565312967717
Industrial,17,4,Yes,Chemical,Medium,32,4,Yes,3,1,No,No,None,15.1,66.80372198831135,3.2492994152820174,45.56845628548591
Commercial,26,8,Yes,Negligence,Medium,32,3,No,6,5,Yes,No,Within 1 year,19.73347741376142,61.19449275715399,4.706319134047496,19.710908879769285
Residential,33,10,No,Chemical,Large,15,4,Yes,10,7,No,Yes,Over 3 years,17.42987508613777,67.8234826168405,2.4695478470970333,12.996780046053097
Commercial,21,6,No,Chemical,Large,17,2,No,2,6,No,No,Over 3 years,20.184682923411646,59.30564667234186,3.2224482675910124,73.55706712762532
Commercial,28,8,No,Chemical,Small,21,3,No,4,6,No,No,Over 3 years,22.160128574305947,98.1251203897184,1.9947224503413823,31.119191422131728
Commercial,5,1,No,Negligence,Small,39,6,Yes,1,0,No,No,Within 1 year,20.4426676669687,87.23101958051456,0.8634479299688731,16.748518042602452
Residential,24,6,No,Chemical,Small,31,8,Yes,4,2,No,No,Within 1 year,19.444375645410545,51.49138037978875,1.6122261100652269,30.683748383982135
Residential,38,10,Yes,Chemical,Small,34,7,No,8,1,No,Yes,None,25.15687863845713,62.44347149481688,2.259664476747718,2.989709808688808
Commercial,9,2,No,Chemical,Medium,11,7,Yes,1,2,No,No,Over 3 years,21.227258607734296,54.89640253395263,3.372199287529291,27.15929150503649
Residential,24,7,Yes,Negligence,Medium,23,9,No,5,3,No,No,Over 3 years,19.938539889667094,63.27498546660351,2.020015212288682,53.65143143964221
Residential,20,6,Yes,Negligence,Large,17,5,No,11,5,No,No,Within 1 year,18.34437052862882,85.04880886470403,2.9139871059477227,36.504952543639526
Commercial,24,7,Yes,Negligence,Medium,25,6,Yes,12,17,No,Yes,None,17.495052041355716,78.67165156679707,3.390354897137441,93.62804287582271
Commercial,23,6,No,Electrical,Small,28,3,Yes,4,5,No,No,Within 1 year,20.10309419982401,75.24544714017874,2.3131147311673432,2.3
Residential,14,4,Yes,Chemical,Medium,12,6,Yes,2,0,No,No,None,15.1,54.937481190386094,3.563701880918069,25.47036190987093
Commercial,14,4,Yes,Chemical,Medium,43,3,Yes,4,0,No,Yes,Over 3 years,21.712416447795334,68.9500292462181,2.631827734423586,82.48978313093136
Commercial,5,1,Yes,Negligence,Small,0,5,No,1,2,No,No,Over 3 years,17.716333893829685,84.64271431608765,2.566640380956151,7.839565248328519
Commercial,26,8,No,Chemical,Small,28,6,No,6,8,No,No,None,23.645517708639023,75.99760293238609,1.86250264077345,21.614466376763275
Residential,8,2,Yes,Chemical,Large,39,5,Yes,1,0,No,No,1-3 years,22.64703767323982,54.47065545882572,2.145418220975884,12.541785809229118
Residential,40,11,Yes,Negligence,Medium,28,7,Yes,8,12,Yes,Yes,None,23.300617895123487,51.94016913980627,3.1045209015114112,2.3
Commercial,24,6,Yes,Chemical,Large,3,5,Yes,6,6,No,No,None,18.809618517747904,87.92297573823353,4.9,24.517972192715572
Commercial,24,7,Yes,Chemical,Medium,22,7,Yes,8,9,No,No,None,20.08086780318392,75.821946589136,2.163838468115358,25.056411681557545
Commercial,27,8,No,Negligence,Large,38,5,No,6,3,No,Yes,Over 3 years,22.171616346145203,79.23513214201256,2.823712701967037,51.28137546484654
Commercial,33,10,Yes,Chemical,Medium,16,5,Yes,13,17,No,No,Over 3 years,22.362505103481823,99.4,1.822149218093404,80.96177915379761
Commercial,37,10,Yes,Negligence,Small,36,3,Yes,8,11,Yes,Yes,None,25.53067051739832,89.96095211957649,1.5211324668886084,42.1242944141784
Residential,43,12,No,Negligence,Small,45,9,Yes,15,8,No,No,None,18.848559849260088,67.99560860068134,0.6,43.13848692007576
Commercial,22,6,Yes,Negligence,Medium,0,7,Yes,10,13,Yes,Yes,1-3 years,26.582157835991413,62.170743132698746,3.9739031148560064,77.08229732820391
Commercial,49,14,No,Negligence,Small,33,6,Yes,8,6,No,No,Within 1 year,15.284076702652255,42.82280902900649,0.9905897791525844,42.46623803314885
Residential,11,3,Yes,Chemical,Small,0,7,No,1,0,No,No,None,15.1,54.82689605644057,2.5619302205130947,2.3
Residential,34,10,No,Chemical,Small,28,6,Yes,8,17,No,No,None,21.27137072513332,44.10428452877298,2.57345135865961,53.642226182351365
Residential,35,10,Yes,Chemical,Medium,8,2,Yes,10,7,No,Yes,None,23.955728477365497,51.78516376356228,3.6442906367702657,44.85239688235534
Commercial,21,6,Yes,Negligence,Small,21,7,Yes,5,7,No,No,Over 3 years,22.778302735505868,78.48434284693172,2.0463475592787246,41.62531145275248
Commercial,22,6,No,Negligence,Small,35,2,Yes,10,16,No,Yes,Over 3 years,25.084294539969008,99.4,1.1880903296509755,71.44443508154917
Commercial,9,3,No,Chemical,Large,13,5,No,1,0,No,Yes,Within 1 year,22.880922906307827,93.25888084213476,1.4032823920784596,59.08687003360778
Commercial,5,1,Yes,Chemical,Medium,18,1,Yes,1,4,No,No,None,16.82427100489356,82.64526121066676,4.044782458784981,45.01709025090559
Industrial,34,10,No,Chemical,Large,43,5,Yes,11,18,No,No,Within 1 year,22.83696282975195,66.52915131572135,2.70157715077584,71.2688016689378
Commercial,36,11,No,Negligence,Large,25,9,Yes,8,12,No,No,Within 1 year,26.92422458859777,92.261786902084,1.6578016546915897,51.22506270756558
Industrial,28,8,No,Negligence,Large,50,5,Yes,7,4,No,No,None,18.512234426785167,78.60071949701563,3.0465231354076927,15.74304838655612
Commercial,32,9,No,Chemical,Small,39,5,Yes,8,7,No,No,None,22.487923118542728,60.72741429675961,3.1957778967184622,33.91467260755714
Commercial,33,9,No,Chemical,Medium,50,5,Yes,8,2,No,Yes,Over 3 years,20.001097270395302,56.65833302419063,3.4330547448586493,54.34902866534573
Residential,24,6,Yes,Chemical,Medium,20,4,No,8,6,No,No,None,19.665713371816068,99.4,3.840283801473296,29.99455443389983
Residential,28,9,No,Negligence,Medium,40,2,Yes,10,14,No,Yes,Over 3 years,15.1,53.15453528156026,3.70003004806596,64.80923003922214
Residential,30,8,Yes,Negligence,Medium,17,8,Yes,7,6,Yes,No,1-3 years,26.584707495919886,92.04438117603593,3.3032237017537387,8.20445849422073
Commercial,18,5,Yes,Negligence,Large,35,5,Yes,6,5,No,Yes,1-3 years,25.03028122270845,71.00285343971623,3.4094600571534346,77.15839991604537
Commercial,30,9,Yes,Chemical,Large,48,3,Yes,9,0,No,Yes,Over 3 years,15.1,94.9403992109824,3.239868157663106,94.1
Residential,45,13,No,Negligence,Medium,22,4,Yes,11,9,Yes,Yes,1-3 years,19.62236695165725,78.6418435163634,2.649963084943173,31.038550276173392
Residential,24,7,Yes,Chemical,Medium,34,6,No,5,3,Yes,Yes,Within 1 year,24.024348842090514,63.256528366905286,3.234256646294029,81.47078826566491
Commercial,14,4,No,Chemical,Medium,27,5,Yes,1,0,No,Yes,None,19.22833366668925,74.35200202891478,4.9,13.719422859549308
Residential,37,10,No,Negligence,Medium,12,9,No,10,4,No,Yes,Within 1 year,23.820954562582266,69.88199351647204,1.8309461722439972,34.79820036490831
Residential,25,7,Yes,Chemical,Medium,22,5,No,7,2,No,No,None,16.033883512164486,78.5525825462079,2.1078280533401736,8.478539751325854
Commercial,5,1,Yes,Chemical,Small,14,5,No,1,0,No,No,None,23.669109787093166,75.2090858684747,3.320151372140602,29.28775540571296
Commercial,38,11,No,Negligence,Large,28,6,No,8,7,No,Yes,None,18.71869926907469,66.0184536757143,1.8232602555531412,2.3
Commercial,31,9,Yes,Negligence,Medium,50,5,Yes,7,6,No,No,None,20.177577850200844,64.0713350602635,4.9,23.583157493806542
Residential,25,7,No,Negligence,Small,30,9,Yes,6,4,No,Yes,None,21.123219321843056,42.282397915637134,1.8734598126207544,23.15344754091385
Residential,14,4,Yes,Negligence,Small,23,8,Yes,2,5,Yes,No,None,21.873326543809032,64.00737956049458,3.3660846992864712,40.31632176102924
Commercial,44,13,No,Electrical,Medium,22,6,Yes,8,11,No,No,1-3 years,17.173319761466757,85.70021358066438,2.1831728068546963,36.38083552289142
Commercial,40,11,Yes,Negligence,Medium,12,3,No,10,5,No,Yes,None,26.078444299325497,91.82523512559489,4.5054517564194665,2.3
Commercial,49,14,Yes,Negligence,Small,18,8,Yes,10,9,Yes,Yes,Over 3 years,16.706867607255415,40.4,2.1458077759846232,51.36498831208803
Residential,20,5,Yes,Chemical,Medium,17,8,No,8,8,No,No,Over 3 years,25.962888594516564,70.98550854236574,3.327399678967379,33.286995538781774
Commercial,24,7,No,Negligence,Small,30,2,No,9,9,Yes,No,None,18.92327212529883,86.04043647902003,2.260691255451252,46.88049077742379
Commercial,13,4,No,Negligence,Medium,34,4,Yes,5,9,No,No,None,19.65473137867447,86.75621178500074,2.012848060742291,50.82112524766726
Residential,32,9,No,Chemical,Small,30,4,Yes,6,3,No,No,None,17.431947902615093,40.4,3.241457142263129,26.29148696783949
Commercial,29,8,Yes,Negligence,Large,17,6,No,3,0,No,No,None,23.328263026889893,40.4,2.705087758319765,57.17475935506369
Commercial,27,8,No,Negligence,Small,27,5,No,12,10,No,No,Over 3 years,24.92983474370637,97.28625914324944,2.4402786817762703,25.16533762385965
Commercial,17,5,No,Chemical,Medium,14,7,No,1,7,Yes,No,Over 3 years,19.450815347046507,43.19544874159942,2.7019380920391054,60.39514638450423
Residential,27,8,No,Chemical,Small,20,2,Yes,7,4,No,Yes,Over 3 years,21.75728571769712,81.47677776028806,3.7319983190660384,73.10761091676449
Residential,27,7,Yes,Negligence,Small,0,8,Yes,8,9,No,Yes,None,16.72398964255899,80.67364917550914,2.1217269064702693,41.007591556719134
Commercial,32,10,Yes,Negligence,Large,6,10,Yes,9,11,No,No,Over 3 years,23.02192150656182,61.08658404094918,2.049608601246934,29.96694936962259
Residential,37,11,Yes,Negligence,Large,29,10,Yes,12,11,No,No,None,18.66985374725533,57.29401339100309,3.447956339279025,61.713142729068494
Commercial,17,5,No,Negligence,Small,12,8,Yes,6,4,No,No,None,21.655168597229,70.66287353340745,3.3120605140675714,94.1
Residential,17,5,No,Chemical,Small,20,6,No,5,7,No,No,None,18.435344402716385,75.12192890124118,2.933693489376699,28.09169755575887
Commercial,32,8,Yes,Electrical,Large,42,7,Yes,8,9,No,Yes,None,18.047957563775647,81.28039064212633,4.199414221111992,2.3
Residential,47,13,Yes,Chemical,Medium,12,4,Yes,11,10,No,Yes,Over 3 years,16.183313772219133,84.34297041329441,1.9849846959035975,39.55554234153463
Residential,18,5,No,Electrical,Medium,18,5,Yes,3,5,No,No,Over 3 years,21.56125008702828,49.8369012674971,3.789322867501789,17.592244990451544
Commercial,45,13,No,Chemical,Small,15,8,Yes,10,16,No,No,Over 3 years,25.396831902777404,84.26120200570097,1.9496686942405344,17.443246134451385
Commercial,14,4,No,Negligence,Small,40,8,Yes,6,14,Yes,No,1-3 years,22.96943553139797,89.62300895883247,2.7866527029778774,70.7092269078079
Industrial,19,6,Yes,Negligence,Small,16,8,Yes,11,10,No,Yes,Over 3 years,15.1,94.21165818407678,3.2896097276362086,69.6780956905404
Residential,21,7,No,Chemical,Medium,22,3,Yes,7,19,Yes,No,None,22.11374340170336,40.4,3.7933930142518255,66.23974547183364
Residential,7,1,No,Chemical,Large,18,1,No,4,5,No,No,None,21.456772592291635,52.05846841337426,2.3787179092732638,2.3
Residential,18,5,No,Chemical,Small,14,7,No,5,8,No,Yes,Over 3 years,17.18479571294241,77.12008375373357,0.9737162139898224,2.3
Residential,49,14,No,Electrical,Medium,38,5,Yes,17,20,Yes,Yes,Within 1 year,26.65986642088317,86.40706560433598,1.2813244050479222,49.878297558883006
Residential,7,3,No,Negligence,Large,4,10,No,1,0,No,No,None,18.940502871698968,64.55323519557939,2.455090816566575,36.47624878874769
Residential,24,7,Yes,Chemical,Large,8,6,Yes,7,5,No,Yes,Over 3 years,15.1,51.91221497897632,4.4152569769368615,38.15265574035094
Commercial,23,7,No,Negligence,Medium,13,5,Yes,7,15,No,Yes,1-3 years,21.91586662975123,55.7332565007439,4.490191319272083,75.51507344250118
Industrial,37,10,No,Negligence,Large,43,6,Yes,10,11,No,No,Over 3 years,21.178547232042355,86.83434481705115,0.6,6.843510589385748
Residential,19,6,No,Chemical,Large,3,9,No,9,9,No,No,None,22.2223902120506,77.39386557240951,1.19064680726433,34.837292418106294
Commercial,49,14,No,Chemical,Small,39,6,Yes,13,20,Yes,Yes,Within 1 year,22.33580677322828,72.03666836254776,2.779934658779338,8.663862355620154
Commercial,47,14,No,Negligence,Medium,34,6,Yes,10,10,No,Yes,Within 1 year,25.07612812681535,60.66209613121256,2.012010209623953,43.206745955547376
Residential,39,11,No,Chemical,Small,47,9,No,10,0,No,No,Within 1 year,24.137140582342774,62.78603446545523,1.6474953600697542,2.3
Commercial,49,14,Yes,Negligence,Small,28,2,No,8,2,No,No,Within 1 year,29.7,55.25001364914817,2.1716054604920325,25.984828488942856
Commercial,31,9,No,Negligence,Small,28,10,Yes,11,17,Yes,No,Within 1 year,29.7,51.39047372463345,1.8694869340280733,49.83839329966237
Residential,25,7,No,Chemical,Small,0,10,Yes,5,8,No,No,Over 3 years,24.576493276325834,44.96515081450548,0.9870049337188288,22.194462931076743
Commercial,26,8,Yes,Negligence,Medium,27,4,Yes,6,5,No,Yes,None,28.572064630245823,77.02813269269355,2.7683270784567275,2.3
Commercial,15,4,No,Negligence,Small,22,9,Yes,8,11,No,Yes,Within 1 year,23.587276642963392,77.73714418443622,2.8588758014817683,26.796808284926826
Residential,28,8,No,Chemical,Medium,29,8,No,11,8,No,No,Over 3 years,22.57975374918044,70.68812165985283,4.9,57.32958400171888
Commercial,20,5,No,Negligence,Large,30,9,No,5,1,No,No,1-3 years,21.350246163034097,81.50956106693899,3.8563153279931113,5.983445555311366
Commercial,5,1,Yes,Chemical,Small,14,5,No,1,4,No,No,Over 3 years,20.586597452920167,61.96129829569519,0.6,50.47645484819635
Residential,13,4,Yes,Negligence,Medium,10,7,Yes,7,13,No,No,Within 1 year,26.57017348300608,77.95296209246197,4.162015032497838,54.9173124267937
Residential,33,10,No,Chemical,Small,0,1,Yes,9,12,No,Yes,Over 3 years,15.1,41.08733175799557,4.701954034876328,43.92581788548817
Commercial,39,11,Yes,Chemical,Medium,39,4,Yes,10,8,No,No,Within 1 year,22.63022248255112,82.66221448025321,2.271536346698397,34.03768364212783
Residential,36,11,No,Chemical,Medium,12,7,No,10,12,No,No,Over 3 years,23.06327812940652,65.3593310342325,1.9222188797134887,23.76803568275082
Residential,34,9,No,Chemical,Large,26,1,Yes,7,13,No,Yes,Over 3 years,17.960365795974297,65.32708753711567,4.148819486579222,31.16629591716408
Industrial,21,6,No,Negligence,Small,50,6,No,9,8,Yes,No,Over 3 years,24.6009430793688,88.45138558614441,2.368684989037261,43.56876881808109
Residential,46,13,No,Chemical,Small,1,6,Yes,8,10,Yes,No,1-3 years,18.517486546257853,58.41117883247999,1.6676541867843304,2.3
Residential,40,11,No,Chemical,Medium,34,4,Yes,11,15,Yes,No,None,21.724508383591694,54.019673998022895,1.4387739419872174,56.04908830692537
Residential,30,8,No,Chemical,Small,19,6,Yes,12,9,Yes,Yes,Over 3 years,24.207544324075904,99.4,2.588624110344178,2.3
Residential,36,11,No,Negligence,Medium,3,10,Yes,10,13,Yes,Yes,Over 3 years,17.316948989329997,59.21394725647515,0.6,74.68962152989037
Residential,37,10,No,Chemical,Medium,12,5,Yes,7,5,No,No,Within 1 year,18.661676447788917,59.58708186839657,2.2463209053060065,45.140422992595134
Residential,25,7,No,Negligence,Medium,16,6,Yes,9,14,No,No,Within 1 year,21.60615623181677,59.77706866309076,3.877570348363016,13.13785034331
Commercial,15,4,No,Negligence,Large,23,5,Yes,9,13,No,No,None,15.708441594029054,69.67444117108897,3.793240168638361,17.188483791340413
Commercial,10,3,No,Negligence,Large,31,6,Yes,4,3,No,No,Over 3 years,21.459154648494728,80.19072437836591,3.0859926412620045,2.3
Commercial,27,8,Yes,Chemical,Medium,18,8,Yes,3,3,No,No,None,22.90066639286913,52.325496617536686,2.3172122010490286,54.44597403496985
Residential,28,8,No,Negligence,Small,21,9,Yes,5,8,No,No,Over 3 years,22.21026161872102,76.16167191695104,0.9485035981920864,2.3
Residential,25,7,Yes,Chemical,Small,5,8,Yes,9,8,Yes,No,Over 3 years,19.43316552396107,59.24480841544622,4.9,77.04068363726176
Commercial,43,12,Yes,Chemical,Large,13,2,No,12,7,Yes,Yes,None,27.58319294851711,99.4,0.8197218392201564,29.944650104490385
Commercial,39,11,Yes,Chemical,Small,26,7,Yes,11,11,Yes,Yes,Over 3 years,26.18255237933304,84.04080168596923,3.766918445816228,35.45932956902877
Industrial,7,2,No,Negligence,Small,40,4,No,1,5,No,No,Within 1 year,24.825400289585257,79.10092559357491,0.6,19.80252165947959
Industrial,21,5,Yes,Negligence,Medium,50,2,No,4,3,No,No,Within 1 year,19.27000769891602,75.15631600816441,4.14891273807333,32.64349746939294
Residential,5,1,No,Chemical,Medium,8,4,No,1,4,No,Yes,Over 3 years,15.1,46.679477247087554,3.374788512455044,35.196690177911755
Residential,39,11,No,Chemical,Medium,32,6,Yes,10,7,No,No,1-3 years,22.16544736367069,96.44684294693612,2.6997768716436314,48.42627399341314
Residential,30,8,No,Electrical,Medium,8,10,Yes,7,8,No,No,None,15.1,59.814194388763,1.0992833897039431,65.21262867220338
Residential,5,1,Yes,Negligence,Medium,24,10,Yes,1,0,No,No,Over 3 years,15.1,76.68137424877396,1.6102507912763857,51.7651880888676
Residential,27,8,Yes,Chemical,Large,12,6,Yes,7,3,No,No,Over 3 years,18.96043792644213,60.52091387114224,4.095154465926891,64.86473512349775
Commercial,17,5,Yes,Chemical,Medium,36,4,No,4,0,Yes,Yes,Within 1 year,20.30469644727389,56.34807240252279,2.1210806841214187,29.34711829397727
Residential,21,6,No,Chemical,Medium,15,5,Yes,7,8,No,No,None,16.12710632409319,40.4,2.526411692610864,48.88133438207255
Residential,28,8,Yes,Chemical,Medium,24,5,Yes,9,12,No,Yes,None,21.429974482118848,62.96055537577031,2.833347106793109,28.916272952663466
Commercial,43,12,No,Negligence,Medium,24,2,Yes,9,8,Yes,No,None,23.95016654440259,68.34751363133348,2.4848988975511737,3.094303494960684
Commercial,18,4,Yes,Chemical,Medium,31,5,Yes,6,13,No,No,None,25.54803133098336,84.57390067862876,3.617232814652717,63.94388514658381
Commercial,24,7,Yes,Negligence,Large,13,7,Yes,6,5,No,No,Over 3 years,17.475376588032244,91.21920453503884,3.0410858416096094,54.408860824411605
Residential,24,7,No,Electrical,Large,40,3,Yes,4,0,No,No,Over 3 years,20.93469470066539,68.9486335804501,2.4741251031313607,26.63395491192501
Residential,29,8,Yes,Negligence,Small,7,3,Yes,8,18,No,No,Over 3 years,26.568513291736508,83.53069759907486,4.323282157328129,52.02342646681521
Residential,17,5,No,Chemical,Small,37,8,Yes,3,6,No,No,None,23.10068418818862,53.58395321916117,3.0100264437070523,34.41280624986305
Industrial,26,7,No,Negligence,Medium,24,2,Yes,6,2,No,No,None,24.64022919876351,99.4,3.182512412452837,41.21991864410277
Commercial,21,7,No,Negligence,Medium,46,6,Yes,4,0,No,No,None,24.14263894008393,63.3202548234184,3.0485911263223846,10.705083678774375
Commercial,11,3,No,Chemical,Medium,11,9,Yes,1,2,No,No,None,29.7,71.73873441111326,1.0269610328645968,54.14556239872075
Commercial,36,10,Yes,Chemical,Medium,17,10,Yes,10,7,No,No,None,19.0655623789598,53.71684377893133,1.7862553982106286,33.447541687628096
Commercial,26,8,No,Chemical,Small,28,1,Yes,6,2,No,No,None,19.915045576629904,80.09917262645214,1.3694870513399753,39.16885106834551
Residential,34,9,No,Chemical,Small,3,6,Yes,9,9,No,No,1-3 years,20.94973662513981,87.4774464120807,1.679716806262745,2.3
Residential,24,7,Yes,Chemical,Small,34,3,No,5,0,Yes,Yes,Over 3 years,18.666010119317956,64.80200347688029,1.8690882766182997,21.400159646470048
Commercial,49,14,No,Chemical,Medium,16,5,Yes,17,19,No,Yes,None,23.88928464160257,69.46191325186344,4.9,18.86988294867417
Commercial,33,9,Yes,Chemical,Large,13,4,Yes,8,6,No,Yes,Over 3 years,22.854247024362994,86.24201380988634,1.6352835963506296,54.2078427026637
Commercial,43,13,No,Negligence,Medium,25,4,No,10,12,No,No,None,25.3167212353367,72.01529540871286,3.8530971624830985,41.20925709306893
Commercial,16,4,Yes,Negligence,Large,39,5,No,4,4,No,No,1-3 years,24.255079218530287,75.26915994482566,1.640490062902194,79.58468692856125
Residential,47,14,No,Negligence,Large,41,1,No,14,10,No,No,None,22.409387893694127,99.4,1.502015850678233,44.05058274516453
Residential,21,6,Yes,Negligence,Small,21,3,Yes,7,3,No,No,None,15.1,61.00729553832371,4.9,30.73263504650004
Residential,24,7,Yes,Negligence,Small,21,8,Yes,8,0,Yes,Yes,Within 1 year,17.66401623170331,60.198561375669314,2.9019638672963066,51.60502030330263
Residential,28,9,No,Negligence,Small,26,8,No,9,5,No,No,None,22.105569866646352,47.244831764442246,2.5795314909332814,26.39138303241597
Residential,29,9,No,Negligence,Small,24,6,Yes,9,9,No,No,1-3 years,22.50328321559413,75.9820719270052,4.057468260144984,2.3
Industrial,27,8,Yes,Chemical,Large,22,4,Yes,8,11,No,No,Over 3 years,25.127481737655906,83.50932455926903,3.950188138453596,58.02077733365411
Residential,5,1,No,Chemical,Medium,27,8,Yes,1,7,No,No,Over 3 years,25.584289860002997,60.13755492784119,3.214610082765973,34.273759085203615
Commercial,39,12,No,Negligence,Large,39,6,Yes,13,18,No,No,Within 1 year,19.82417487131649,72.53469618794142,1.7261204419161644,32.64258732036337
Residential,5,1,Yes,Chemical,Large,35,6,No,1,4,No,No,Over 3 years,18.070739648057824,60.24498708858222,2.2431087510776404,28.21904493314143
Residential,17,5,No,Chemical,Small,24,8,No,4,2,No,No,Over 3 years,18.536347157659574,66.81940065762379,1.2398033048831594,2.3
Commercial,33,10,No,Chemical,Medium,13,5,No,7,0,No,No,Over 3 years,18.811838618651148,73.10069884491698,2.687865494474869,25.123479736397165
Industrial,44,13,Yes,Negligence,Medium,33,6,No,9,6,No,No,Over 3 years,22.4816404409464,84.6648500222798,2.3639924342530065,6.161781076477297
Residential,22,7,No,Negligence,Large,25,6,No,4,3,Yes,No,Over 3 years,21.14497953160706,61.6190218185758,1.1247947445094348,15.380368208427464
Commercial,30,9,No,Negligence,Small,42,8,Yes,9,14,Yes,Yes,Over 3 years,28.33450106646822,51.25090988377164,2.9701992366518875,18.70520681591094
Residential,10,3,No,Negligence,Small,46,5,No,1,9,No,No,Within 1 year,26.68164091388376,54.7631233499818,2.3664666281273683,12.413870182999243
Industrial,23,7,Yes,Negligence,Medium,42,2,Yes,6,9,No,No,Within 1 year,26.35579294311802,91.28024831359085,4.505591416132982,46.684843522700966
Commercial,33,10,Yes,Negligence,Small,24,4,Yes,7,9,No,No,None,28.18919787351209,49.75238746298395,2.576569601918952,67.43959635830541
Industrial,36,10,Yes,Negligence,Medium,50,2,Yes,8,7,No,No,None,25.285744096989657,78.93893357287135,3.6362372240783247,36.22133973503393
Residential,23,6,No,Chemical,Small,18,9,Yes,7,4,No,No,1-3 years,24.954869318900798,76.28886572756778,2.98013226469914,26.26446594031277
Residential,5,1,No,Chemical,Small,19,5,Yes,1,8,No,No,Over 3 years,19.401910047694177,62.22910585244957,3.094795460582513,22.396996376110263
